Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.190000057220459,0.0015,2.0E-5,0.047,5200.0,0.0015,0.047,5200.0,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
698,,,,,,,,,,,,,,,,,,,,,,,-6.199999809265137,,,,,,,,,,,,,,,
1241,,,,,,,,,,,,,,,,,,,,,,,-6.210000038146973,,,,,,,,,,,,,,,
1462,,,,,,,,,,,,,,,,,,,,,,,-6.199999809265137,,,,,,,,,,,,,,,
1484,,,,,,,,,,,,,,,,,,,,,,,-6.210000038146973,,,,,,,,,,,,,,,
2448,,,,,,,,,,,,,,,,,,,,,,,-6.21999979019165,,,,,,,,,,,,,,,
2468,,,,,,,,,,,,,,,,,,,,,,,-6.210000038146973,,,,,,,,,,,,,,,
2509,,,,,,,,,,,,,,,,,,,,,,,-6.21999979019165,,,,,,,,,,,,,,,
2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56640625,3.80859375,19.0,13.0,,
2770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.41796875,23.4375,97.0,80.0,,
2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.26171875,60.64453125,233.0,207.0,,
2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.33984375,113.0859375,421.0,386.0,,
2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.48046875,181.0546875,657.0,618.0,,
2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.99609375,259.5703125,925.0,886.0,,
2870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.75390625,336.03515625,1187.0,1147.0,,
2890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.92578125,411.9140625,1447.0,1406.0,,
2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.51171875,490.13671875,1705.0,1673.0,,
2930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.4921875,567.1875,1978.0,1936.0,,
2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.05859375,646.875,2253.0,2208.0,,
3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.234375,901.46484375,3124.0,3077.0,,
3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.296875,991.69921875,3428.0,3385.0,,
3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.21875,1086.328125,3752.0,3708.0,,
3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.60546875,1181.54296875,4081.0,4033.0,,
3091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1294.62890625,1282.03125,4419.0,4376.0,,
3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.68359375,1383.3984375,4781.0,4722.0,,
3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512.01171875,1495.8984375,5161.0,5106.0,,
3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.47265625,1616.30859375,5579.0,5517.0,,
3172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765.4296875,1745.21484375,6026.0,5957.0,,
3192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900.78125,1880.56640625,6488.0,6419.0,,
3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037.3046875,2018.84765625,6954.0,6891.0,,
3234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168.84765625,2150.390625,7403.0,7340.0,,
3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2287.79296875,2271.09375,7809.0,7752.0,,
3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2396.19140625,2381.25,8179.0,8128.0,,
3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494.62890625,2479.6875,8515.0,8464.0,,
3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.0546875,2569.62890625,8810.0,8771.0,,
3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2658.984375,2648.4375,9076.0,9040.0,,
3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727.5390625,2719.04296875,9310.0,9281.0,,
3373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787.890625,2782.03125,9516.0,9496.0,,
3393,,,,,,,,,,,,,,,,,,,,,,,-6.230000019073486,,,,,,,,,,2842.3828125,2836.23046875,9702.0,9681.0,,
3414,,,,,,,,,,,,,,,,,,,,,,,-6.21999979019165,,,,,,,,,,2890.13671875,2883.984375,9865.0,9844.0,,
3433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932.03125,2926.171875,10008.0,9988.0,,
3454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968.65234375,2963.37890625,10133.0,10115.0,,
3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001.171875,2996.484375,10244.0,10228.0,,
3494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029.296875,3025.78125,10340.0,10328.0,,
3514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054.4921875,3052.1484375,10426.0,10418.0,,
3534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3077.63671875,3075.0,10505.0,10496.0,,
3554,,,,,,,,,,,,,,,,,,,,,,,-6.230000019073486,,,,,,,,,,3098.73046875,3095.80078125,10577.0,10567.0,,
3574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3117.1875,3114.2578125,10640.0,10630.0,,
3594,,,,,,,,,,,,,,,,,,,,,,,-6.21999979019165,,,,,,,,,,3135.64453125,3131.8359375,10703.0,10690.0,,
3615,,,,,,,,,,,,,,,,,,,,,,,-6.230000019073486,,,,,,,,,,3152.05078125,3147.65625,10759.0,10744.0,,
3655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.76171875,3178.125,10857.0,10848.0,,
3676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3194.53125,3192.48046875,10904.0,10897.0,,
3695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3206.8359375,3206.54296875,10946.0,10945.0,,
3715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3219.43359375,3219.43359375,10989.0,10989.0,,
3736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3232.32421875,3231.73828125,11033.0,11031.0,,
3756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244.62890625,3243.1640625,11075.0,11070.0,,
3776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3255.46875,3254.00390625,11112.0,11107.0,,
3796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266.30859375,3264.84375,11149.0,11144.0,,
3816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3277.44140625,3275.09765625,11187.0,11179.0,,
3836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3287.6953125,3285.05859375,11222.0,11213.0,,
3856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3297.65625,3295.60546875,11256.0,11249.0,,
3877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307.6171875,3305.859375,11290.0,11284.0,,
3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3316.9921875,3315.52734375,11322.0,11317.0,,
