Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.679999828338623,0.045,2.0E-5,0.0015,5200.0,0.045,0.0015,5200.0,0.0078125,1.0,5309.1796875,5309.1796875,18122.0,18122.0,0.0,0.0
9,,,,,,,,,,,,,,,,,,,,,,,-6.690000057220459,,,,,,,,,,5309.765625,,18124.0,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5309.47265625,5309.765625,18123.0,18124.0,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310.9375,5310.05859375,18128.0,18125.0,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310.3515625,,18126.0,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5311.81640625,5311.23046875,18131.0,18129.0,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310.64453125,5310.9375,18127.0,18128.0,,
130,,,,,,,,,,,,,,,,,,,,,,,-6.699999809265137,,,,,,,,,,5312.6953125,5313.57421875,18134.0,18137.0,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312.40234375,5313.8671875,18133.0,18138.0,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5314.453125,,18140.0,,,
190,,,,,,,,,,,,,,,,,,,,,,,-6.690000057220459,,,,,,,,,,5314.74609375,5315.33203125,18141.0,18143.0,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5316.2109375,5317.08984375,18146.0,18149.0,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5316.50390625,5317.67578125,18147.0,18151.0,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317.08984375,,18149.0,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317.67578125,5317.08984375,18151.0,18149.0,,
291,,,,,,,,,,,,,,,,,,,,,,,-6.699999809265137,,,,,,,,,,5316.50390625,5316.2109375,18147.0,18146.0,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317.08984375,,18149.0,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5315.91796875,5317.08984375,18145.0,18149.0,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5316.796875,5315.33203125,18148.0,18143.0,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5315.0390625,,18142.0,,,
411,,,,,,,,,,,,,,,,,,,,,,,-6.710000038146973,,,,,,,,,,5314.16015625,5314.74609375,18139.0,18141.0,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5314.74609375,5314.16015625,18141.0,18139.0,,
452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313.8671875,,18138.0,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313.57421875,,18137.0,,,
492,,,,,,,,,,,,,,,,,,,,,,,-6.699999809265137,,,,,,,,,,5314.16015625,5314.74609375,18139.0,18141.0,,
