Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.449999809265137,0.0015,2.0E-5,0.047,6000.0,0.0015,0.047,6000.0,0.0078125,1.0,4651.7578125,4657.32421875,15878.0,15897.0,0.0,0.0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4658.203125,4661.42578125,15900.0,15911.0,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4664.0625,4667.87109375,15920.0,15933.0,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4669.3359375,4672.265625,15938.0,15948.0,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674.31640625,4679.00390625,15955.0,15971.0,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4679.296875,4683.69140625,15972.0,15987.0,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4683.984375,4690.4296875,15988.0,16010.0,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4688.96484375,4694.53125,16005.0,16024.0,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4694.82421875,4699.51171875,16025.0,16041.0,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700.9765625,4705.37109375,16046.0,16061.0,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4711.23046875,4715.33203125,16081.0,16095.0,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4715.91796875,4720.3125,16097.0,16112.0,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4720.8984375,4727.05078125,16114.0,16135.0,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4725.5859375,4731.15234375,16130.0,16149.0,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4731.15234375,4736.1328125,16149.0,16166.0,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4737.3046875,4741.69921875,16170.0,16185.0,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4742.87109375,4746.09375,16189.0,16200.0,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747.265625,4751.953125,16204.0,16220.0,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4752.24609375,4757.2265625,16221.0,16238.0,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757.2265625,4762.5,16238.0,16256.0,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4763.0859375,4767.48046875,16258.0,16273.0,,
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4768.359375,4772.4609375,16276.0,16290.0,,
469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4773.33984375,4777.44140625,16293.0,16307.0,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4778.3203125,4782.12890625,16310.0,16323.0,,
509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4783.0078125,4787.6953125,16326.0,16342.0,,
529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787.6953125,4792.3828125,16342.0,16358.0,,
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4797.94921875,4802.63671875,16377.0,16393.0,,
591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4802.9296875,4807.6171875,16394.0,16410.0,,
