Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.430000305175781,0.0015,2.0E-5,0.047,4800.0,0.0015,0.047,4800.0,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
303,,,,,,,,,,,,,,,,,,,,,,,-12.4399995803833,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,-12.430000305175781,,,,,,,,,,,,,,,
1187,,,,,,,,,,,,,,,,,,,,,,,-12.4399995803833,,,,,,,,,,,,,,,
1408,,,,,,,,,,,,,,,,,,,,,,,-12.430000305175781,,,,,,,,,,,,,,,
2996,,,,,,,,,,,,,,,,,,,,,,,-12.4399995803833,,,,,,,,,,,,,,,
4524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3046875,26.66015625,42.0,91.0,,
4544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1875,64.16015625,144.0,219.0,,
4564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1328125,116.6015625,294.0,398.0,,
4585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.484375,183.984375,500.0,628.0,,
4605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.36328125,263.0859375,759.0,898.0,,
4626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.171875,342.1875,1028.0,1168.0,,
4645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.6875,423.046875,1296.0,1444.0,,
4665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.1328125,504.4921875,1574.0,1722.0,,
4685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.9921875,587.6953125,1850.0,2006.0,,
4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.953125,673.53515625,2140.0,2299.0,,
4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.0859375,761.1328125,2434.0,2598.0,,
4747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.1484375,850.48828125,2738.0,2903.0,,
4786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.578125,1045.8984375,3388.0,3570.0,,
4806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.30859375,1148.4375,3725.0,3920.0,,
4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.828125,1260.64453125,4092.0,4303.0,,
4846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315.13671875,1382.8125,4489.0,4720.0,,
4866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441.11328125,,,,,
4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.046875,1917.48046875,6308.0,6545.0,,
4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.3671875,2039.6484375,6746.0,6962.0,,
4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092.08984375,2149.8046875,7141.0,7338.0,,
5081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2563.4765625,2590.4296875,8750.0,8842.0,,
5108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610.64453125,2635.25390625,8911.0,8995.0,,
5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2652.5390625,,9054.0,,,
5148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2688.57421875,2706.15234375,9177.0,9237.0,,
5168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720.21484375,2735.44921875,9285.0,9337.0,,
5188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748.33984375,2760.64453125,9381.0,9423.0,,
5208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772.65625,2783.203125,9464.0,9500.0,,
5229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2794.3359375,2804.00390625,9538.0,9571.0,,
5249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2813.37890625,2822.4609375,9603.0,9634.0,,
5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2830.37109375,2839.453125,9661.0,9692.0,,
5309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862.01171875,2870.80078125,9769.0,9799.0,,
5328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2876.3671875,2884.27734375,9818.0,9845.0,,
5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2890.4296875,2897.75390625,9866.0,9891.0,,
5390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2916.2109375,2923.2421875,9954.0,9978.0,,
5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2928.515625,2935.25390625,9996.0,10019.0,,
5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940.52734375,2946.6796875,10037.0,10058.0,,
5451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2951.953125,2957.8125,10076.0,10096.0,,
5470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2963.0859375,2968.9453125,10114.0,10134.0,,
5490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2973.92578125,2979.4921875,10151.0,10170.0,,
5510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984.47265625,2989.453125,10187.0,10204.0,,
5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2994.7265625,3000.0,10222.0,10240.0,,
5551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3004.1015625,3009.9609375,10254.0,10274.0,,
5570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013.76953125,3019.04296875,10287.0,10305.0,,
5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3023.14453125,3027.83203125,10319.0,10335.0,,
5611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031.640625,3036.62109375,10348.0,10365.0,,
5630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3040.13671875,3044.82421875,10377.0,10393.0,,
5651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048.33984375,3052.44140625,10405.0,10419.0,,
5671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3056.25,3060.05859375,10432.0,10445.0,,
5692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3063.8671875,3067.67578125,10458.0,10471.0,,
5711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3071.19140625,3075.0,10483.0,10496.0,,
5732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078.515625,3082.03125,10508.0,10520.0,,
