Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [10]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18062.0,,
728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291.6015625,,18062.0,,,
748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5290.4296875,5289.2578125,18058.0,18054.0,,
768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5290.4296875,,18058.0,,
788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5289.2578125,5288.37890625,18054.0,18051.0,,
809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5287.20703125,5288.0859375,18047.0,18050.0,,
829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5286.328125,,18044.0,,
849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5286.328125,5288.0859375,18044.0,18050.0,,
869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5287.20703125,5286.62109375,18047.0,18045.0,,
889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5285.15625,,,,,
891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5286.03515625,18040.0,18043.0,,
909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5284.86328125,,18039.0,,
930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5286.328125,5285.15625,18044.0,18040.0,,
949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283.984375,5283.984375,18036.0,18036.0,,
969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5284.5703125,,,,,
970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5282.2265625,18038.0,18030.0,,
990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5281.93359375,5281.34765625,18029.0,18027.0,,
1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280.76171875,,18025.0,,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5279.8828125,,18022.0,,,
1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280.17578125,5278.7109375,18023.0,18018.0,,
1070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278.41796875,,18017.0,,,
1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5277.5390625,5277.5390625,18014.0,18014.0,,
1110,,,,,,,,,,,,,,,,,,,,,,,-6.059999942779541,,,,,,,,,,,5278.41796875,,18017.0,,
1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5276.66015625,5276.66015625,18011.0,18011.0,,
1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5277.24609375,,18013.0,,
1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5276.953125,5276.3671875,18012.0,18010.0,,
1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5277.5390625,5278.7109375,18014.0,18018.0,,
1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278.41796875,5277.5390625,18017.0,18014.0,,
1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278.7109375,,,,
1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18018.0,,
1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5277.83203125,,18015.0,,
