Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.86000061035156,0.7,0.047,2.0E-5,0.0015,5800.0,0.047,0.0015,5800.0,0.7,0.0078125,0.0390625,6242.578125,6241.9921875,21308.0,21306.0,0.0,0.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.9921875,,21306.0,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.40625,6241.69921875,21304.0,21305.0,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.69921875,6241.11328125,21305.0,21303.0,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.40625,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6240.8203125,21304.0,21302.0,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6240.8203125,6240.52734375,21302.0,21301.0,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.40625,,21304.0,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.11328125,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242.28515625,21303.0,21307.0,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.9921875,,21306.0,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.45703125,6243.1640625,21311.0,21310.0,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.3359375,6243.45703125,21314.0,21311.0,,
207,,,,,,,,,,,,,,,,,,,,,,,-94.8499984741211,,,,,,,,,,,,6243.75,6242.578125,21312.0,21308.0,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.45703125,,21311.0,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242.87109375,6243.1640625,21309.0,21310.0,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242.28515625,6242.87109375,21307.0,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21309.0,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242.578125,6241.9921875,21308.0,21306.0,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6241.9921875,6241.69921875,21306.0,21305.0,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242.28515625,6243.1640625,21307.0,21310.0,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.04296875,,21313.0,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.75,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.3359375,21312.0,21314.0,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.921875,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,-94.86000061035156,,,,,,,,,,,,,,21316.0,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.3359375,,,,,
469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.45703125,21314.0,21311.0,,
489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.04296875,,21313.0,,,
509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.45703125,6243.75,21311.0,21312.0,,
549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.75,6243.1640625,21312.0,21310.0,,
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.45703125,6242.87109375,21311.0,21309.0,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.04296875,,21313.0,,
630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6243.75,6244.62890625,21312.0,21315.0,,
650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.62890625,,21315.0,,,
671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.80078125,6245.5078125,21319.0,21318.0,,
691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.09375,6245.80078125,21320.0,21319.0,,
710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.921875,,21316.0,,
730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.80078125,6245.21484375,21319.0,21317.0,,
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.21484375,,,,,
751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.80078125,21317.0,21319.0,,
771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.5078125,,,,,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.21484375,21318.0,21317.0,,
791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.921875,,21316.0,,
811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.21484375,6245.21484375,21317.0,21317.0,,
831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.921875,6244.62890625,,,,
832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21316.0,21315.0,,
851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.5078125,,,,,
852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.21484375,21318.0,21317.0,,
872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244.921875,,21316.0,,,
892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.09375,6246.97265625,21320.0,21323.0,,
912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,,21325.0,,,
932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.8515625,6247.265625,21326.0,21324.0,,
952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,6246.6796875,21325.0,21322.0,,
972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.38671875,,21321.0,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.6796875,6246.97265625,21322.0,21323.0,,
1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.38671875,6246.09375,21321.0,21320.0,,
1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245.80078125,6245.5078125,21319.0,21318.0,,
1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.09375,6247.265625,21320.0,21324.0,,
1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.6796875,6247.55859375,21322.0,21325.0,,
1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.14453125,,,,,
1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.14453125,21327.0,21327.0,,
1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.73046875,,21329.0,,,
1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.4375,6247.55859375,21328.0,21325.0,,
1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.14453125,6247.265625,21327.0,21324.0,,
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,6247.8515625,21325.0,21326.0,,
1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.97265625,6247.55859375,21323.0,21325.0,,
1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,6247.265625,21325.0,21324.0,,
1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.265625,6246.97265625,21324.0,21323.0,,
1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.97265625,,21323.0,,,
1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6246.6796875,,21322.0,,
1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.14453125,,21327.0,,
1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,6248.73046875,21325.0,,,
1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21329.0,,
1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0234375,6249.0234375,21330.0,21330.0,,
1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,,21332.0,,,
1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.31640625,6248.73046875,21331.0,21329.0,,
1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0234375,6247.8515625,21330.0,21326.0,,
1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.4375,6248.4375,21328.0,21328.0,,
1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,6248.14453125,21325.0,21327.0,,
1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.14453125,,21327.0,,,
1516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,,21325.0,,
1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.55859375,6247.265625,21325.0,21324.0,,
1556,,,,,,,,,,,,,,,,,,,,,,,-94.87000274658203,,,,,,,,,,,,6247.265625,,21324.0,,,
1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247.8515625,,21326.0,,,
1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0234375,,21330.0,,
1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,,,,,
1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,21333.0,21332.0,,
1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0234375,,21330.0,,
1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,6248.4375,21332.0,21328.0,,
1697,,,,,,,,,,,,,,,,,,,,,,,-94.86000061035156,,,,,,,,,,,,6249.0234375,6249.0234375,21330.0,21330.0,,
1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.4375,,,,,
1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.73046875,21328.0,21329.0,,
1737,,,,,,,,,,,,,,,,,,,,,,,-94.87000274658203,,,,,,,,,,,,6248.73046875,6248.4375,21329.0,21328.0,,
1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.4375,6248.14453125,21328.0,21327.0,,
1777,,,,,,,,,,,,,,,,,,,,,,,-94.86000061035156,,,,,,,,,,,,6247.8515625,6247.8515625,21326.0,21326.0,,
1800,,,,,,,,,,,,,,,,,,,,,,,-94.87000274658203,,,,,,,,,,,,,6247.55859375,,21325.0,,
1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.4375,6249.31640625,21328.0,21331.0,,
1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,6250.1953125,21333.0,21334.0,,
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.78125,6250.48828125,21336.0,21335.0,,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,,21334.0,,
1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,6249.609375,21334.0,21332.0,,
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,,21333.0,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,,21332.0,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.31640625,,21331.0,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0234375,6248.4375,21330.0,21328.0,,
2039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.73046875,6248.73046875,21329.0,21329.0,,
2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,,,,
2060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21332.0,,
2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,6250.78125,21335.0,21336.0,,
2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.3671875,6251.07421875,21338.0,21337.0,,
2139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.07421875,6250.48828125,21337.0,21335.0,,
2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,,21334.0,,
2180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,,,,,
2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,21335.0,21335.0,,
2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,6250.1953125,21333.0,21334.0,,
2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,,21332.0,,
2240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.31640625,,,,
2241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21331.0,,
2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0234375,6248.4375,21330.0,21328.0,,
2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.73046875,,21329.0,,,
2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0234375,6250.1953125,21330.0,21334.0,,
2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,6250.48828125,21334.0,21335.0,,
2361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.07421875,6251.07421875,21337.0,21337.0,,
2382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,,21335.0,,
2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,6249.90234375,21335.0,21333.0,,
2421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,6250.1953125,21334.0,21334.0,,
2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,,21333.0,,,
2461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,,21332.0,,
2484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.31640625,,21331.0,,
2502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,6249.0234375,21332.0,21330.0,,
2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.31640625,,21331.0,,,
2543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,,21334.0,,
2563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,,21332.0,,,
2583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.78125,6251.07421875,21336.0,21337.0,,
2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.953125,,21340.0,,,
2623,,,,,,,,,,,,,,,,,,,,,,,-94.87999725341797,,,,,,,,,,,,6251.66015625,6250.78125,21339.0,21336.0,,
2643,,,,,,,,,,,,,,,,,,,,,,,-94.87000274658203,,,,,,,,,,,,6251.07421875,6250.1953125,21337.0,21334.0,,
2663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,6250.48828125,21335.0,21335.0,,
2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,,21333.0,,,
2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,,21333.0,,
2724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,,21332.0,,
2744,,,,,,,,,,,,,,,,,,,,,,,-94.87999725341797,,,,,,,,,,,,6249.31640625,6249.0234375,21331.0,21330.0,,
2764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.31640625,,21331.0,,
2783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,,21334.0,,
2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.78125,,21336.0,,
2824,,,,,,,,,,,,,,,,,,,,,,,-94.87000274658203,,,,,,,,,,,,6250.78125,6251.07421875,21336.0,21337.0,,
2844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.66015625,6251.3671875,21339.0,21338.0,,
2865,,,,,,,,,,,,,,,,,,,,,,,-94.87999725341797,,,,,,,,,,,,,6250.48828125,,21335.0,,
2887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.07421875,6250.1953125,21337.0,21334.0,,
2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.78125,6250.48828125,21336.0,21335.0,,
2925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,,21333.0,,,
2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,6249.90234375,21334.0,21333.0,,
2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,6249.609375,21333.0,21332.0,,
2985,,,,,,,,,,,,,,,,,,,,,,,-94.87000274658203,,,,,,,,,,,,6249.609375,6249.0234375,21332.0,21330.0,,
3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.31640625,6249.31640625,21331.0,21331.0,,
3025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.609375,6250.48828125,21332.0,21335.0,,
3045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.90234375,6250.78125,21333.0,21336.0,,
3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.3671875,6251.3671875,21338.0,21338.0,,
3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.953125,6251.66015625,21340.0,21339.0,,
3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.78125,,21336.0,,
3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.3671875,6251.3671875,21338.0,21338.0,,
3166,,,,,,,,,,,,,,,,,,,,,,,-94.87999725341797,,,,,,,,,,,,,,,,,
3186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.07421875,6251.07421875,21337.0,21337.0,,
3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,,21335.0,,
3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.1953125,6249.90234375,21334.0,21333.0,,
3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.48828125,,21335.0,,
3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250.78125,6251.3671875,21336.0,21338.0,,
3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6252.24609375,6252.24609375,21341.0,21341.0,,
3327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6253.125,6252.5390625,21344.0,21342.0,,
3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6252.83203125,6252.24609375,21343.0,21341.0,,
3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6252.5390625,,,,,
3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.66015625,21342.0,21339.0,,
3387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.953125,6251.953125,21340.0,21340.0,,
3407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.07421875,6251.66015625,21337.0,21339.0,,
3428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.3671875,6251.3671875,21338.0,21338.0,,
3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6251.07421875,6250.48828125,21337.0,21335.0,,
