Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.20999908447266,0.7,0.047,2.0E-5,0.0015,4800.0,0.047,0.0015,4800.0,0.7,0.0078125,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0
1619,,,,,,,,,,,,,,,,,,,,,,,-95.19999694824219,,,,,,,,,,,,,,,,,
1639,,,,,,,,,,,,,,,,,,,,,,,-95.20999908447266,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,,,,,,,-95.19999694824219,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,-95.20999908447266,,,,,,,,,,,,,,,,,
2041,,,,,,,,,,,,,,,,,,,,,,,-95.19999694824219,,,,,,,,,,,,,,,,,
2302,,,,,,,,,,,,,,,,,,,,,,,-95.20999908447266,,,,,,,,,,,,,,,,,
2322,,,,,,,,,,,,,,,,,,,,,,,-95.19999694824219,,,,,,,,,,,,,,,,,
2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.515625,,12.0,,,
2483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3359375,10.546875,66.0,36.0,,
2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.421875,41.6015625,196.0,142.0,,
2523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.20703125,,,,,
2524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6484375,383.0,306.0,,
2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5703125,155.2734375,630.0,530.0,,
2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.82421875,237.890625,921.0,812.0,,
2584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.71484375,326.3671875,1221.0,1114.0,,
2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.67578125,410.7421875,1511.0,1402.0,,
2624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.53515625,493.9453125,1787.0,1686.0,,
2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.25390625,656.8359375,2339.0,2242.0,,
2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.1640625,737.40234375,,,,
2687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622.0,2517.0,,
2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.0234375,821.19140625,,,,
2705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2898.0,2803.0,,
2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.2890625,990.52734375,3486.0,3381.0,,
2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.1015625,1170.99609375,4110.0,3997.0,,
2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.6796875,,4426.0,,,
2805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391.30859375,1356.73828125,4749.0,4631.0,,
2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.171875,1543.65234375,5380.0,5269.0,,
2866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.45703125,1636.23046875,5695.0,5585.0,,
2886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1763.96484375,1727.63671875,6021.0,5897.0,,
2906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861.23046875,1824.90234375,6353.0,6229.0,,
2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079.4921875,2037.01171875,7098.0,6953.0,,
2967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2201.953125,2157.421875,7516.0,7364.0,,
2987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.859375,2285.15625,7956.0,7800.0,,
3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.98828125,2416.9921875,8407.0,8250.0,,
3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2596.2890625,2548.2421875,8862.0,8698.0,,
3047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725.48828125,,9303.0,,,
3067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2847.0703125,2803.7109375,9718.0,9570.0,,
3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2963.96484375,2922.36328125,,,,
3087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10117.0,9975.0,,
3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3077.05078125,3037.20703125,10503.0,10367.0,,
3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3183.69140625,3147.0703125,10867.0,10742.0,,
3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285.64453125,3251.07421875,11215.0,11097.0,,
3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3385.25390625,,11555.0,,,
3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3478.7109375,3445.8984375,11874.0,11762.0,,
3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568.359375,,12180.0,,,
3228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654.19921875,3624.0234375,12473.0,12370.0,,
3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738.28125,3707.8125,12760.0,12656.0,,
3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3891.796875,,,,,
3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3865.13671875,13284.0,13193.0,,
3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965.625,3940.4296875,13536.0,13450.0,,
3329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4036.23046875,4009.86328125,13777.0,13687.0,,
3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4166.89453125,4144.921875,14223.0,14148.0,,
