Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8700000047683716,1.0,0.047,2.0E-5,0.0015,5200.0,0.047,0.0015,5200.0,1.0,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
498,,,,,,,,,,,,,,,,,,,,,,,-1.8799999952316284,,,,,,,,,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6171875,6.4453125,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,22.0,,
1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.10546875,,,,,
1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.58984375,113.0,101.0,,
1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.2421875,68.26171875,,,,
1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,233.0,,
1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.1484375,,,,,
1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.703125,,,,
1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,412.0,,
1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.41015625,186.328125,667.0,636.0,,
1142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.2890625,261.9140625,926.0,894.0,,
1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.72265625,333.69140625,1163.0,1139.0,,
1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.79296875,406.0546875,1409.0,1386.0,,
1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.20703125,480.17578125,,,,
1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.0,1639.0,,
1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.20703125,556.0546875,,,,
1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919.0,1898.0,,
1242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.37890625,631.640625,2179.0,2156.0,,
1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.48046875,709.86328125,2449.0,2423.0,,
1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.41015625,787.79296875,2715.0,2689.0,,
1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.33984375,864.55078125,2981.0,2951.0,,
1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.68359375,943.359375,3245.0,3220.0,,
1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027.734375,1020.1171875,3508.0,3482.0,,
1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.12890625,1099.21875,3779.0,3752.0,,
1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.23046875,1178.61328125,4049.0,4023.0,,
1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.08984375,1260.05859375,4325.0,4301.0,,
1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351.46484375,1344.43359375,4613.0,4589.0,,
1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1438.4765625,,,,,
1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430.56640625,4910.0,4883.0,,
1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.55859375,1514.6484375,5197.0,5170.0,,
1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607.51953125,1599.31640625,5487.0,5459.0,,
1504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.48046875,1683.3984375,5777.0,5746.0,,
1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.9765625,1767.1875,6062.0,6032.0,,
1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860.9375,1852.1484375,6352.0,6322.0,,
1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.29296875,1939.453125,6657.0,6620.0,,
1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043.75,2034.375,,,,
1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6976.0,6944.0,,
1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143.9453125,2133.69140625,7318.0,7283.0,,
1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2254.1015625,2242.08984375,7694.0,7653.0,,
1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2372.75390625,2361.03515625,8099.0,8059.0,,
1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501.07421875,,,,,
1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489.35546875,8537.0,8497.0,,
1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2635.25390625,,,,,
1686,,,,,,,,,,,,,,,,,,,,,,,-1.8899999856948853,,,,,,,,,,,,,2621.19140625,8995.0,8947.0,,
1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2770.01953125,,,,,
1706,,,,,,,,,,,,,,,,,,,,,,,-1.8799999952316284,,,,,,,,,,,,,2757.71484375,9455.0,9413.0,,
1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2903.3203125,2890.72265625,9910.0,9867.0,,
1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031.93359375,3020.21484375,10349.0,10309.0,,
1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3155.859375,3144.140625,10772.0,10732.0,,
1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3273.92578125,3263.0859375,11175.0,11138.0,,
1806,,,,,,,,,,,,,,,,,,,,,,,-1.8899999856948853,,,,,,,,,,,,3388.18359375,3377.63671875,11565.0,11529.0,,
1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3498.6328125,3486.03515625,11942.0,11899.0,,
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3602.34375,3591.50390625,12296.0,12259.0,,
1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3701.3671875,3692.578125,12634.0,12604.0,,
1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3798.33984375,3787.79296875,12965.0,12929.0,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890.0390625,3880.6640625,13278.0,13246.0,,
1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3976.171875,,,,,
1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970.3125,13572.0,13552.0,,
1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4062.3046875,4052.9296875,13866.0,13834.0,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4143.75,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,-1.8799999952316284,,,,,,,,,,,,,4135.25390625,14144.0,14115.0,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220.5078125,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4213.18359375,14406.0,14381.0,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4294.62890625,4287.59765625,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,-1.8899999856948853,,,,,,,,,,,,,,14659.0,14635.0,,
2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4366.40625,4357.91015625,,,,
2028,,,,,,,,,,,,,,,,,,,,,,,-1.8799999952316284,,,,,,,,,,,,,,14904.0,14875.0,,
2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4433.7890625,4428.515625,15134.0,15116.0,,
2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4499.4140625,4492.3828125,15358.0,15334.0,,
2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4561.5234375,4556.54296875,15570.0,15553.0,,
2108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4622.4609375,4616.015625,15778.0,15756.0,,
2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4679.58984375,,,,,
2128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676.07421875,15973.0,15961.0,,
2148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4735.546875,4730.859375,16164.0,16148.0,,
2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789.74609375,4784.47265625,16349.0,16331.0,,
2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840.72265625,,,,,
2189,,,,,,,,,,,,,,,,,,,,,,,-1.8899999856948853,,,,,,,,,,,,,4836.328125,16523.0,16508.0,,
2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4890.234375,4886.42578125,16692.0,16679.0,,
2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4939.16015625,4932.421875,16859.0,16836.0,,
2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4983.10546875,4979.296875,17009.0,16996.0,,
2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5026.7578125,,,,,
2269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5023.828125,17158.0,17148.0,,
2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5070.41015625,,,,,
2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5064.55078125,17307.0,17287.0,,
2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5109.66796875,5106.15234375,17441.0,17429.0,,
2329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148.046875,,,,,
2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5145.99609375,17572.0,17565.0,,
2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5187.01171875,,,,,
2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5182.91015625,17705.0,17691.0,,
2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222.75390625,,,,,
2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218.359375,17827.0,17812.0,,
2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.4453125,5254.39453125,17942.0,17935.0,,
2410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5289.84375,5287.20703125,18056.0,18047.0,,
2430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5323.2421875,,,,,
2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5319.43359375,18170.0,18157.0,,
2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5353.125,5349.90234375,18272.0,,,
2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18261.0,,
2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5383.30078125,,,,,
