Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9299999475479126,1.0,0.047,2.0E-5,0.0015,5200.0,0.047,0.0015,5200.0,1.0,0.0078125,0.0078125,5223.33984375,5264.0625,17827.0,17834.0,0.0,0.0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222.4609375,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5223.33984375,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17829.0,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17826.0,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5221.58203125,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222.16796875,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17823.0,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17825.0,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5221.875,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220.1171875,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17824.0,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17818.0,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5219.53125,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222.16796875,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17816.0,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17825.0,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220.1171875,,,,,
3157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218.9453125,,,,
3159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17818.0,,,
3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.7734375,,,17814.0,,
3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218.359375,,,,
3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17810.0,,,
3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17812.0,,
3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218.9453125,,,,,
3171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.1875,,,,
3172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17814.0,,,
3173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17808.0,,
3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.6015625,,,,,
4662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218.65234375,,,,
4663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17806.0,,,
4664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17813.0,,
4665,,,,,,,,,,,,,,,,,,,,,,,-1.940000057220459,,,,,,,,,,,,,,,,,
4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5217.1875,,,,,
4667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215.72265625,,,,
4668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17808.0,,,
4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17803.0,,
4670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215.72265625,,,,,
4671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.015625,,,,
4672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17803.0,,,
4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17804.0,,
4674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.6015625,,,,,
4675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215.72265625,,,,
4676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17806.0,,,
4677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17803.0,,
4678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214.55078125,,,,,
4679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216.6015625,,,,
4680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17799.0,,,
4681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215.4296875,,,17806.0,,
4682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215.13671875,,,,
4683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17802.0,,,
4684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17801.0,,
4685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215.13671875,,,,,
4687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214.55078125,,,,
4688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17801.0,,,
4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17799.0,,
4690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5215.4296875,,,,
4691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17802.0,,
4692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214.55078125,,,,,
4694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17799.0,,,
4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214.2578125,,,,
4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17798.0,,
4697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5212.79296875,,,,
4698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17793.0,,
4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.37890625,,,,,
4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5214.84375,,,,
4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17795.0,,,
4703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17800.0,,
4704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0859375,,,,
4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17794.0,,
4706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.9140625,,,,,
4708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5212.5,,,,
4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17790.0,,,
4710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17792.0,,
4711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5212.5,,,,,
4712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210.7421875,,,,
4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17792.0,,,
4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17786.0,,
4715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210.44921875,,,,,
4716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5212.79296875,,,,
4717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17785.0,,,
4962,,,,,,,,,,,,,,,,,,,,,,,-1.9299999475479126,,,,,,,,,,,,5209.27734375,5209.86328125,17781.0,17783.0,,
4964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210.44921875,,,,,
4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5208.69140625,,,,
4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17785.0,,,
4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17779.0,,
4970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5207.8125,,,,,
4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210.44921875,,,,
4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17776.0,,,
4974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17785.0,,
4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5208.69140625,,,,,
