Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
15472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5382.71484375,18374.0,18373.0,,
15492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5378.61328125,5379.19921875,18359.0,18361.0,,
15512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5375.09765625,5375.09765625,18347.0,18347.0,,
15531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5370.99609375,5371.2890625,,,,
15532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18333.0,18334.0,,
15552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5367.1875,5368.06640625,18320.0,18323.0,,
15572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5364.55078125,5363.96484375,18311.0,18309.0,,
15593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360.44921875,5360.44921875,18297.0,18297.0,,
15613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5357.51953125,5356.93359375,18287.0,18285.0,,
15633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5353.7109375,5354.58984375,18274.0,18277.0,,
15653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5351.3671875,5351.953125,18266.0,18268.0,,
15673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5348.14453125,5348.4375,18255.0,18256.0,,
15693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5345.21484375,5346.09375,18245.0,18248.0,,
15713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5343.45703125,5342.28515625,18239.0,18235.0,,
15734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5339.94140625,5341.11328125,18227.0,18231.0,,
15754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5338.4765625,5337.890625,18222.0,18220.0,,
15774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5335.25390625,5335.83984375,18211.0,18213.0,,
15794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330.859375,5333.203125,18196.0,18204.0,,
15814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331.73828125,,18199.0,,
15834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5328.80859375,5329.6875,18189.0,18192.0,,
15854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5326.7578125,5326.46484375,18182.0,18181.0,,
15874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5323.828125,,,,,
15875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5324.12109375,18172.0,18173.0,,
15894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317.96875,5320.8984375,18152.0,18162.0,,
15914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5319.43359375,,18157.0,,
15934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317.08984375,5315.625,18149.0,18144.0,,
15955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5313.28125,5313.57421875,18136.0,18137.0,,
15975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312.40234375,5310.64453125,18133.0,18127.0,,
16047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304.19921875,5304.78515625,18105.0,18107.0,,
16056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5303.02734375,5303.02734375,18101.0,18101.0,,
16076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300.390625,5300.9765625,18092.0,18094.0,,
16096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5298.6328125,5296.875,18086.0,18080.0,,
16115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5297.4609375,,18082.0,,,
16136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5295.41015625,5295.99609375,18075.0,18077.0,,
16156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5294.23828125,,,,,
16157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5293.06640625,18071.0,18067.0,,
16176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291.30859375,,18061.0,,,
16196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5288.96484375,,18053.0,,
16216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5288.37890625,,18051.0,,,
16236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5288.0859375,5286.03515625,18050.0,18043.0,,
16256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5284.5703125,,18038.0,,,
16276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5284.27734375,5283.3984375,18037.0,18034.0,,
16297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280.76171875,5281.640625,18025.0,18028.0,,
16317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5280.17578125,5278.7109375,18023.0,18018.0,,
16337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5276.3671875,5277.83203125,18010.0,18015.0,,
16357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5274.90234375,5274.90234375,18005.0,18005.0,,
16377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271.09375,5271.38671875,17992.0,17993.0,,
16397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268.75,5267.28515625,17984.0,17979.0,,
16420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5263.4765625,5261.1328125,,,,
16421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17966.0,17958.0,,
16440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5260.546875,,17956.0,,,
16458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.4453125,5256.73828125,17942.0,17943.0,,
16478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254.1015625,5252.9296875,17934.0,17930.0,,
16498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5249.4140625,5250.5859375,17918.0,17922.0,,
16518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247.36328125,5247.36328125,17911.0,17911.0,,
16538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5243.26171875,5243.5546875,17897.0,17898.0,,
16558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240.91796875,5239.453125,17889.0,17884.0,,
16579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5234.765625,5236.23046875,17868.0,17873.0,,
16605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5231.25,5231.25,17856.0,,,
16606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17856.0,,
16618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5224.8046875,,,,,
16619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5225.390625,17834.0,17836.0,,
16639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220.703125,5218.9453125,17820.0,17814.0,,
16659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213.0859375,5215.4296875,17794.0,17802.0,,
16679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210.7421875,5210.44921875,17786.0,17785.0,,
16699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5205.76171875,5206.93359375,17769.0,17773.0,,
16719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5205.17578125,5203.7109375,17767.0,17762.0,,
16741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5201.3671875,5204.00390625,17754.0,17763.0,,
16760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5201.953125,5201.3671875,17756.0,17754.0,,
16780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5199.609375,5200.1953125,17748.0,17750.0,,
16801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5199.31640625,5197.8515625,17747.0,17742.0,,
16820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195.80078125,,17735.0,,,
16841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5167.08984375,5168.84765625,17637.0,17643.0,,
16861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032.32421875,5039.94140625,17177.0,17203.0,,
16881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4855.078125,4863.28125,16572.0,16600.0,,
16901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4682.2265625,4691.6015625,15982.0,16014.0,,
16921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4518.75,4525.1953125,15424.0,15446.0,,
16941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4388.0859375,4393.06640625,14978.0,14995.0,,
16960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4370.21484375,4368.45703125,14917.0,14911.0,,
16981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401.5625,4400.390625,15024.0,15020.0,,
17001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4436.42578125,4433.203125,15143.0,15132.0,,
17021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468.9453125,4468.359375,15254.0,15252.0,,
17041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4503.515625,4501.171875,15372.0,15364.0,,
17062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4534.86328125,4535.15625,15479.0,15480.0,,
17081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4566.2109375,4564.74609375,15586.0,15581.0,,
17102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623.33984375,4594.921875,15781.0,15684.0,,
17122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4621.875,,15776.0,,
17142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649.12109375,,,,,
17143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4647.65625,15869.0,15864.0,,
17162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674.90234375,4672.8515625,15957.0,15950.0,,
17182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4699.21875,4696.2890625,16040.0,16030.0,,
17203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4721.77734375,4720.8984375,16117.0,16114.0,,
17222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4744.62890625,,,,,
17223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4743.45703125,16195.0,16191.0,,
17243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4766.6015625,4766.30859375,16270.0,16269.0,,
17263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4809.375,4808.49609375,16416.0,16413.0,,
17283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4830.46875,4829.8828125,16488.0,16486.0,,
17303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852.1484375,4850.9765625,16562.0,16558.0,,
17323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4875.29296875,4872.94921875,16641.0,16633.0,,
17343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4896.97265625,4896.09375,16715.0,16712.0,,
17364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919.82421875,4920.1171875,16793.0,16794.0,,
17384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943.84765625,4940.91796875,16875.0,16865.0,,
17404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4964.94140625,4964.35546875,16947.0,16945.0,,
17425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985.15625,4985.44921875,17016.0,17017.0,,
17445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5006.25,5004.19921875,17088.0,17081.0,,
17465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024.70703125,5024.4140625,17151.0,17150.0,,
17485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5043.1640625,5043.1640625,17214.0,17214.0,,
17505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5062.20703125,5059.27734375,17279.0,17269.0,,
17524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5078.3203125,5078.3203125,17334.0,17334.0,,
17545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5095.60546875,5095.60546875,17393.0,17393.0,,
17565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5112.59765625,5110.83984375,17451.0,17445.0,,
17585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128.125,5126.953125,17504.0,17500.0,,
17605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141.89453125,5143.06640625,,,,
17606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17551.0,17555.0,,
17625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5157.12890625,5155.6640625,17603.0,17598.0,,
17646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170.3125,5168.5546875,17648.0,17642.0,,
17665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5182.32421875,5182.32421875,,,,
17666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17689.0,17689.0,,
17686,,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734863,,,,,,,,,,,5195.5078125,5194.921875,17734.0,17732.0,,
17706,,,,,,,,,,,,,,,,,,,,,,,-0.9700000286102295,,,,,,,,,,,5207.2265625,5206.640625,17774.0,17772.0,,
17727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220.41015625,5218.06640625,17819.0,17811.0,,
17747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229.78515625,5230.95703125,17851.0,17855.0,,
17767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5242.08984375,5240.625,17893.0,17888.0,,
17788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5250.5859375,5251.171875,17922.0,17924.0,,
17809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.71875,5259.375,17960.0,17952.0,,
17828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5268.1640625,5269.62890625,17982.0,17987.0,,
17848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278.41796875,5277.5390625,18017.0,18014.0,,
17868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5286.03515625,5286.328125,18043.0,18044.0,,
17888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5295.41015625,5293.359375,18075.0,18068.0,,
17908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302.1484375,5302.734375,18098.0,18100.0,,
17928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310.64453125,5310.64453125,18127.0,18127.0,,
17948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317.96875,5317.67578125,18152.0,18151.0,,
17968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5324.70703125,5324.70703125,18175.0,18175.0,,
17988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5331.73828125,5330.859375,18199.0,18196.0,,
18008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5337.01171875,5337.890625,18217.0,18220.0,,
18028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5344.3359375,5343.1640625,18242.0,18238.0,,
18048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5348.73046875,5348.73046875,18257.0,18257.0,,
18069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5354.8828125,5354.00390625,18278.0,18275.0,,
18089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5359.5703125,5359.86328125,18294.0,18295.0,,
18109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5364.84375,5364.84375,18312.0,18312.0,,
18129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5369.23828125,5368.65234375,18327.0,18325.0,,
18149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5373.92578125,5373.6328125,18343.0,18342.0,,
18169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5378.3203125,5377.44140625,18358.0,18355.0,,
18190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5381.54296875,5381.8359375,18369.0,18370.0,,
18210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5385.9375,5385.9375,18384.0,18384.0,,
18230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5389.74609375,5390.0390625,18397.0,18398.0,,
18357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5393.5546875,5393.5546875,18410.0,18410.0,,
18358,,,,,,,,,,,,,,,,,,,,,,,-0.9800000190734863,,,,,,,,,,,5409.08203125,5408.7890625,18463.0,18462.0,,
18371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5411.42578125,5412.01171875,18471.0,18473.0,,
18391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5414.6484375,5414.0625,18482.0,18480.0,,
18411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5416.69921875,5416.11328125,18489.0,18487.0,,
18431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5418.75,5418.75,18496.0,18496.0,,
18452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5420.5078125,5420.5078125,18502.0,18502.0,,
18472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5422.265625,5422.55859375,18508.0,18509.0,,
18492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5424.609375,5423.73046875,18516.0,18513.0,,
18513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5425.78125,,,,,
18514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5425.78125,18520.0,18520.0,,
18532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5427.24609375,5427.5390625,18525.0,18526.0,,
18552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5429.296875,5428.7109375,18532.0,18530.0,,
18572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5430.46875,5431.0546875,18536.0,18538.0,,
18592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5432.51953125,5432.2265625,18543.0,18542.0,,
18613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5433.984375,5433.10546875,18548.0,18545.0,,
18633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5434.5703125,5435.15625,18550.0,18552.0,,
18653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436.9140625,5436.62109375,18558.0,18557.0,,
18673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5438.0859375,5437.79296875,18562.0,18561.0,,
18693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5438.671875,5439.2578125,18564.0,18566.0,,
18713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5440.4296875,5439.84375,18570.0,18568.0,,
18733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5440.72265625,5441.015625,18571.0,18572.0,,
18754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441.89453125,5441.6015625,18575.0,18574.0,,
18773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5442.1875,,18576.0,,
18793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5442.48046875,,,,,
18794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443.359375,18577.0,18580.0,,
18814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5444.23828125,5443.06640625,18583.0,18579.0,,
18834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443.65234375,,18581.0,,
18855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5444.53125,5444.82421875,18584.0,18585.0,,
18874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5445.41015625,5445.1171875,18587.0,18586.0,,
18894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5445.703125,5445.99609375,18588.0,18589.0,,
18914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446.2890625,5446.2890625,18590.0,18590.0,,
18935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446.875,5446.58203125,18592.0,18591.0,,
18954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447.75390625,,18595.0,,
18974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.33984375,,18597.0,,,
18994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.046875,,,,,
18995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.046875,18596.0,18596.0,,
19015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.33984375,5449.21875,18597.0,18600.0,,
19037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5450.09765625,5448.6328125,18603.0,18598.0,,
19055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449.21875,5449.51171875,18600.0,18601.0,,
19075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449.51171875,,18601.0,,,
19115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449.21875,5450.09765625,18600.0,18603.0,,
19136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449.8046875,,,,,
19137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449.51171875,18602.0,18601.0,,
19156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449.51171875,5448.33984375,18601.0,18597.0,,
19177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.6328125,5449.51171875,18598.0,18601.0,,
19196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449.51171875,5449.21875,18601.0,18600.0,,
19215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.6328125,5448.92578125,18598.0,18599.0,,
19237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.046875,,18596.0,,,
19257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.92578125,5448.046875,18599.0,18596.0,,
19277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.046875,5448.33984375,18596.0,18597.0,,
19297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.33984375,5448.046875,18597.0,18596.0,,
19317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.046875,5447.75390625,18596.0,18595.0,,
19338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447.75390625,5448.6328125,18595.0,18598.0,,
19357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.33984375,5447.75390625,18597.0,18595.0,,
19377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5447.75390625,5446.875,18595.0,18592.0,,
19397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446.58203125,5447.16796875,18591.0,18593.0,,
19418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446.58203125,,18591.0,,
19438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5445.703125,5445.703125,,,,
19439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18588.0,18588.0,,
19458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5445.1171875,5445.1171875,18586.0,18586.0,,
19477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5444.53125,5444.23828125,18584.0,18583.0,,
19498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443.359375,,18580.0,,,
19518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5443.65234375,5443.06640625,18581.0,18579.0,,
19538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441.89453125,5441.89453125,18575.0,18575.0,,
19559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441.015625,5442.1875,18572.0,18576.0,,
19578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5440.13671875,,18569.0,,
19598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5439.55078125,5439.2578125,18567.0,18566.0,,
19618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5438.671875,5438.96484375,18564.0,18565.0,,
19639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5438.37890625,5438.37890625,18563.0,18563.0,,
19659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436.9140625,5437.79296875,18558.0,18561.0,,
19679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5437.20703125,5436.9140625,18559.0,18558.0,,
19699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436.62109375,5435.7421875,18557.0,18554.0,,
19719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5434.86328125,5435.44921875,,,,
19720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18551.0,18553.0,,
