Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
3681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814.0625,1730.2734375,6192.0,5906.0,,
3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.7109375,1817.87109375,6498.0,6205.0,,
3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.8046875,1907.8125,6826.0,6512.0,,
3741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101.46484375,2104.98046875,7173.0,7185.0,,
3782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2329.39453125,2333.7890625,7951.0,7966.0,,
3802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455.37109375,,8381.0,,,
3822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2586.328125,2592.7734375,8828.0,8850.0,,
3842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721.09375,2727.5390625,9288.0,9310.0,,
3882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982.421875,2860.83984375,10180.0,9765.0,,
3902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3106.640625,2989.16015625,10604.0,10203.0,,
3923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224.70703125,3112.5,11007.0,10624.0,,
3942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3338.671875,,,,,
3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3229.6875,11396.0,11024.0,,
3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3446.77734375,3343.359375,11765.0,11412.0,,
3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550.78125,3452.63671875,12120.0,11785.0,,
4003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651.5625,3555.46875,12464.0,12136.0,,
4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3748.2421875,3752.05078125,12794.0,12807.0,,
4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3839.35546875,,13105.0,,,
4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3928.7109375,3932.2265625,13410.0,13422.0,,
4083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4013.0859375,4017.7734375,13698.0,,,
4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13714.0,,
4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4094.23828125,,13975.0,,,
4124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4172.16796875,4097.16796875,14241.0,13985.0,,
4144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.58203125,4249.51171875,14495.0,14505.0,,
4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4318.06640625,4320.99609375,14739.0,14749.0,,
4184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4386.9140625,,14974.0,,,
4204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4452.5390625,4388.96484375,15198.0,14981.0,,
4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4516.40625,4519.04296875,15416.0,15425.0,,
4244,,,,,,,,,,,,,,,,,,,,,,,-0.6499999761581421,,,,,,,,,,4578.22265625,,15627.0,,,
4264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4635.9375,4581.4453125,,,,
4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15824.0,15638.0,,
4285,,,,,,,,,,,,,,,,,,,,,,,-0.6399999856948853,,,,,,,,,,4691.6015625,4638.8671875,16014.0,15834.0,,
4305,,,,,,,,,,,,,,,,,,,,,,,-0.6499999761581421,,,,,,,,,,4746.6796875,4748.73046875,16202.0,16209.0,,
4325,,,,,,,,,,,,,,,,,,,,,,,-0.6399999856948853,,,,,,,,,,4798.2421875,4800.5859375,16378.0,16386.0,,
4345,,,,,,,,,,,,,,,,,,,,,,,-0.6499999761581421,,,,,,,,,,4847.4609375,,16546.0,,,
4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4896.38671875,4898.14453125,16713.0,16719.0,,
4384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943.26171875,,16873.0,,,
4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985.7421875,4944.140625,17018.0,16876.0,,
4424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029.1015625,4988.671875,17166.0,17028.0,,
4445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5071.2890625,5031.73828125,17310.0,17175.0,,
4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5108.7890625,5071.875,17438.0,17312.0,,
4485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148.046875,5111.1328125,17572.0,17446.0,,
4505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5185.546875,5150.68359375,17700.0,17581.0,,
4526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220.41015625,5186.1328125,17819.0,17702.0,,
4546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5252.05078125,5221.2890625,17927.0,17822.0,,
4566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5317.08984375,5288.37890625,18149.0,18051.0,,
4586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5346.97265625,5317.96875,,,,
4608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5376.26953125,5377.44140625,18351.0,18355.0,,
4626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404.1015625,,18446.0,,,
4646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5430.76171875,5405.2734375,18537.0,18450.0,,
4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457.421875,5458.59375,18628.0,18632.0,,
4687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5482.03125,,18712.0,,,
4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5505.17578125,5506.93359375,18791.0,18797.0,,
4727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5530.6640625,,18878.0,,,
4747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5551.7578125,5550.87890625,18950.0,18947.0,,
4787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5591.89453125,5593.9453125,19087.0,19094.0,,
4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5612.98828125,,,,,
4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19159.0,,,
4827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5631.73828125,,,,,
4828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5614.453125,19223.0,19164.0,,
4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5668.9453125,5651.66015625,19350.0,19291.0,,
4888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5687.109375,5669.23828125,19412.0,19351.0,,
4908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5703.515625,5703.22265625,19468.0,19467.0,,
4928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719.04296875,5719.3359375,19521.0,19522.0,,
4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5734.5703125,,19574.0,,,
4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5749.8046875,5750.68359375,,,,
