Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
3169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.69140625,1807.32421875,6259.0,6169.0,,
3189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971.38671875,1940.91796875,6729.0,6625.0,,
3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.375,2080.95703125,7200.0,,,
3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7103.0,,
3230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242.08984375,2219.53125,7653.0,7576.0,,
3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380.6640625,2354.296875,8126.0,8036.0,,
3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506.93359375,2480.859375,8557.0,8468.0,,
3290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2625.0,2602.734375,8960.0,8884.0,,
3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2738.37890625,2716.69921875,9347.0,9273.0,,
3329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845.3125,2825.9765625,9712.0,9646.0,,
3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2947.55859375,,,,,
3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2923.2421875,10061.0,9978.0,,
3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3044.82421875,3024.90234375,10393.0,10325.0,,
3390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136.23046875,3116.6015625,10705.0,10638.0,,
3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222.65625,3204.4921875,11000.0,10938.0,,
3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304.98046875,3288.57421875,11281.0,11225.0,,
3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3382.6171875,3367.67578125,11546.0,11495.0,,
3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452.63671875,3443.26171875,11785.0,11753.0,,
3490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3527.9296875,3514.453125,12042.0,11996.0,,
3510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3595.3125,3581.8359375,12272.0,12226.0,,
3531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659.1796875,3646.2890625,12490.0,12446.0,,
3552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3718.359375,3704.296875,12692.0,12644.0,,
3571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3777.83203125,3764.94140625,12895.0,12851.0,,
3591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3831.15234375,3821.19140625,13077.0,13043.0,,
3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3883.0078125,3871.875,13254.0,13216.0,,
3641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3933.3984375,3922.8515625,13426.0,13390.0,,
3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3982.03125,3971.77734375,13592.0,13557.0,,
3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024.8046875,4017.48046875,13738.0,13713.0,,
3692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4068.75,4059.66796875,13888.0,13857.0,,
3713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4110.3515625,4099.51171875,14030.0,13993.0,,
3733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4148.73046875,4141.40625,14161.0,14136.0,,
3753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185.3515625,4178.3203125,14286.0,14262.0,,
3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4221.09375,4214.35546875,14408.0,14385.0,,
3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255.078125,4248.046875,14524.0,14500.0,,
3813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286.1328125,4280.859375,14630.0,14612.0,,
3833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4317.1875,4311.03515625,14736.0,14715.0,,
3853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4346.484375,4340.91796875,14836.0,14817.0,,
3873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4375.1953125,4368.45703125,14934.0,14911.0,,
3895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400.68359375,4396.875,15021.0,15008.0,,
3913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4427.9296875,4421.19140625,15114.0,15091.0,,
3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450.78125,4446.97265625,15192.0,15179.0,,
3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4474.8046875,4469.23828125,15274.0,15255.0,,
3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495.8984375,4492.67578125,15346.0,15335.0,,
3994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4517.578125,4512.3046875,15420.0,15402.0,,
4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4536.03515625,4533.3984375,15483.0,15474.0,,
4046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4555.95703125,4551.26953125,15551.0,15535.0,,
4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4572.65625,,,,,
4055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569.140625,15608.0,15596.0,,
4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590.8203125,4586.1328125,15670.0,,,
4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15654.0,,
4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4604.00390625,,15715.0,,
4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4622.16796875,4618.359375,15777.0,15764.0,,
4135,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,4636.23046875,4634.765625,15825.0,15820.0,,
4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4651.171875,4647.36328125,15876.0,15863.0,,
4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4664.35546875,4661.71875,15921.0,15912.0,,
4195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676.3671875,4673.4375,15962.0,15952.0,,
4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4688.0859375,,,,,
4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4685.44921875,16002.0,15993.0,,
4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4698.92578125,,,,,
4236,,,,,,,,,,,,,,,,,,,,,,,-3.6700000762939453,,,,,,,,,,,,,4696.2890625,16039.0,16030.0,,
4256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4709.765625,4706.8359375,16076.0,16066.0,,
4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718.84765625,4718.26171875,16107.0,16105.0,,
4297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4729.39453125,4727.34375,16143.0,16136.0,,
4316,,,,,,,,,,,,,,,,,,,,,,,-3.6600000858306885,,,,,,,,,,,,4738.76953125,4736.71875,16175.0,16168.0,,
4336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4746.38671875,4744.921875,16201.0,16196.0,,
