Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.1500015258789,0.7,0.047,2.0E-5,0.0015,3000.0,0.047,0.0015,3000.0,0.7,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2734375,2.34375,18.0,8.0,,
1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.921875,16.69921875,68.0,57.0,,
1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.390625,113.96484375,428.0,389.0,,
1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.2421875,211.5234375,762.0,722.0,,
1690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.44140625,,1203.0,,,
1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.5234375,493.65234375,1746.0,1685.0,,
1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.03125,663.57421875,2328.0,2265.0,,
1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.10546875,841.69921875,2929.0,2873.0,,
1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1034.47265625,1015.13671875,3531.0,3465.0,,
1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203.22265625,1185.64453125,4107.0,4047.0,,
1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.25390625,1345.01953125,4643.0,4591.0,,
1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1506.15234375,1491.2109375,5141.0,5090.0,,
1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0390625,1627.44140625,5598.0,5555.0,,
1871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764.55078125,1752.83203125,6023.0,5983.0,,
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.39453125,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6415.0,,,
1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.3984375,1974.0234375,6770.0,6738.0,,
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081.54296875,2073.046875,7105.0,7076.0,,
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171.77734375,2162.6953125,7413.0,7382.0,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.859375,2324.4140625,7956.0,7934.0,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2402.63671875,2395.60546875,8201.0,8177.0,,
2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.96875,,8424.0,,,
2051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2529.78515625,2523.6328125,8635.0,8614.0,,
