Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.80000305175781,0.7,0.047,2.0E-5,0.0015,4500.0,0.047,0.0015,4500.0,0.7,0.0078125,0.0390625,4955.56640625,4952.05078125,16915.0,16903.0,0.0,0.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4950.29296875,4948.53515625,16897.0,16891.0,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4946.484375,4944.43359375,16884.0,16877.0,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943.84765625,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940.0390625,16875.0,16862.0,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4938.8671875,4937.109375,,,,
66,,,,,,,,,,,,,,,,,,,,,,,-95.80999755859375,,,,,,,,,,,,,,16858.0,16852.0,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4934.47265625,4933.59375,16843.0,16840.0,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4931.54296875,4928.02734375,16833.0,16821.0,,
281,,,,,,,,,,,,,,,,,,,,,,,-95.80000305175781,,,,,,,,,,,,4904.296875,4900.78125,16740.0,16728.0,,
292,,,,,,,,,,,,,,,,,,,,,,,-95.80999755859375,,,,,,,,,,,,4899.31640625,4898.14453125,16723.0,16719.0,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4895.5078125,4894.3359375,16710.0,16706.0,,
327,,,,,,,,,,,,,,,,,,,,,,,-95.80000305175781,,,,,,,,,,,,4893.1640625,4889.6484375,16702.0,16690.0,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4889.6484375,4887.01171875,16690.0,16681.0,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4885.25390625,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4884.66796875,16675.0,16673.0,,
388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4881.73828125,4879.39453125,16663.0,16655.0,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4878.80859375,4876.7578125,16653.0,16646.0,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4876.46484375,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4873.828125,16645.0,16636.0,,
448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4871.484375,4870.60546875,16628.0,16625.0,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4866.2109375,4863.28125,16610.0,16600.0,,
508,,,,,,,,,,,,,,,,,,,,,,,-95.80999755859375,,,,,,,,,,,,4862.98828125,4860.3515625,16599.0,16590.0,,
529,,,,,,,,,,,,,,,,,,,,,,,-95.80000305175781,,,,,,,,,,,,4858.88671875,4858.0078125,16585.0,16582.0,,
551,,,,,,,,,,,,,,,,,,,,,,,-95.80999755859375,,,,,,,,,,,,4855.6640625,4853.61328125,16574.0,16567.0,,
569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4852.734375,4850.390625,16564.0,16556.0,,
589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4849.8046875,4847.16796875,16554.0,16545.0,,
609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4845.99609375,4844.53125,16541.0,16536.0,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4842.48046875,4841.015625,16529.0,16524.0,,
649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839.84375,4837.20703125,16520.0,16511.0,,
650,,,,,,,,,,,,,,,,,,,,,,,-95.80000305175781,,,,,,,,,,,,,,,,,
