Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1699999570846558,0.7,0.047,2.0E-5,0.0015,0.047,0.0015,0.7,0.0078125,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0
8,,,,,,,,,,,,,,,,,,,,,,,-1.1799999475479126,,,,,,,,,,,,,,,
1135,,,,,,,,,,,,,,,,,,,,,,,-1.190000057220459,,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,,,,,,,,,,-1.2000000476837158,,,,,,,,,,,,,,,
2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.375,,,,,
2563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08203125,32.0,31.0,,
2583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.10546875,,,,,
2584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.69140625,113.0,115.0,,
2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.19140625,72.36328125,243.0,247.0,,
2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.6328125,125.09765625,422.0,427.0,,
2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.13671875,,,,,
2643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.6015625,649.0,654.0,,
2662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.55078125,,,,,
2663,,,,,,,,,,,,,,,,,,,,,,,-1.2100000381469727,,,,,,,,,,,263.96484375,903.0,901.0,,
2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.20703125,338.37890625,1151.0,1155.0,,
2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.79296875,413.0859375,1409.0,1410.0,,
2723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.015625,490.4296875,1676.0,1674.0,,
2743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.53125,569.82421875,1944.0,1945.0,,
2763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.75390625,650.68359375,2211.0,2221.0,,
2783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.4921875,,,,,
2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.078125,2490.0,2492.0,,
2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.05859375,,,,,
2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.5234375,2765.0,2770.0,,
2824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.8671875,890.625,3034.0,3040.0,,
2844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967.67578125,968.26171875,3303.0,3305.0,,
2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.8984375,1047.36328125,3570.0,3575.0,,
2884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124.70703125,1126.7578125,3839.0,3846.0,,
2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207.03125,1207.6171875,,,,
2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4120.0,4122.0,,
2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291.40625,,,,,
2925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.578125,4408.0,4412.0,,
2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379.296875,1380.76171875,4708.0,4713.0,,
2964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.30859375,,,,,
2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1468.359375,5005.0,5012.0,,
2985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554.19921875,1554.4921875,5305.0,5306.0,,
3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726.171875,1727.05078125,5892.0,5895.0,,
3026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814.6484375,,,,,
3046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.984375,1907.51953125,6516.0,6511.0,,
3066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007.12890625,2008.30078125,6851.0,6855.0,,
3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111.71875,2112.890625,7208.0,7212.0,,
3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.8046875,2225.9765625,7594.0,7598.0,,
3128,,,,,,,,,,,,,,,,,,,,,,,-1.2200000286102295,,,,,,,,,,2346.38671875,2347.265625,8009.0,8012.0,,
3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474.4140625,2476.46484375,8446.0,8453.0,,
3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2607.71484375,2607.421875,8901.0,8900.0,,
3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741.89453125,2743.359375,9359.0,9364.0,,
3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874.0234375,2874.90234375,9810.0,9813.0,,
3227,,,,,,,,,,,,,,,,,,,,,,,-1.2100000381469727,,,,,,,,,,3001.171875,3002.34375,10244.0,10248.0,,
3247,,,,,,,,,,,,,,,,,,,,,,,-1.2200000286102295,,,,,,,,,,3123.046875,3124.51171875,10660.0,10665.0,,
3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240.52734375,3242.578125,11061.0,11068.0,,
3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353.3203125,3356.25,11446.0,11456.0,,
3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462.3046875,3464.0625,11818.0,11824.0,,
3328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3567.48046875,3568.65234375,12177.0,12181.0,,
3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3667.3828125,3668.84765625,12518.0,12523.0,,
3367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3762.59765625,3764.6484375,,,,
3368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12843.0,12850.0,,
3387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3856.0546875,3855.46875,13162.0,13160.0,,
3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3943.65234375,3944.23828125,13461.0,13463.0,,
3428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026.85546875,,,,,
3429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4027.734375,13745.0,13748.0,,
3448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108.59375,4109.47265625,14024.0,14027.0,,
3468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185.9375,,,,,
3469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186.81640625,14288.0,14291.0,,
3488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4260.05859375,4261.5234375,,,,
3489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14541.0,14546.0,,
3508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4331.54296875,4333.0078125,14785.0,14790.0,,
3530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401.26953125,4401.5625,15023.0,15024.0,,
3549,,,,,,,,,,,,,,,,,,,,,,,-1.2300000190734863,,,,,,,,,,4466.015625,4466.89453125,15244.0,15247.0,,
3569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4530.46875,4530.17578125,15464.0,15463.0,,
3590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4589.35546875,4590.52734375,15665.0,15669.0,,
3610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649.12109375,4649.4140625,15869.0,15870.0,,
3630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4705.078125,4705.078125,16060.0,16060.0,,
3650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4758.984375,4759.86328125,16244.0,16247.0,,
3670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810.83984375,4811.42578125,16421.0,16423.0,,
3690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4861.23046875,4861.23046875,16593.0,16593.0,,
3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4908.984375,4909.86328125,16756.0,16759.0,,
3730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4954.98046875,4956.4453125,16913.0,16918.0,,
3752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.390625,4998.92578125,17068.0,17063.0,,
3770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5041.69921875,5043.45703125,17209.0,17215.0,,
3790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5084.1796875,5084.765625,17354.0,17356.0,,
3810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5123.4375,5122.8515625,17488.0,17486.0,,
3831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160.3515625,5160.9375,17614.0,17616.0,,
3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5196.6796875,5199.31640625,17738.0,17747.0,,
3871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233.88671875,,,,,
3872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5232.71484375,17865.0,17861.0,,
3891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5266.9921875,5267.28515625,17978.0,17979.0,,
3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299.51171875,5299.21875,18089.0,18088.0,,
3931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330.859375,5332.03125,18196.0,18200.0,,
3952,,,,,,,,,,,,,,,,,,,,,,,-1.2400000095367432,,,,,,,,,,5362.5,5361.62109375,18304.0,18301.0,,
3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390.33203125,5390.91796875,18399.0,18401.0,,
3991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5418.75,,,,,
3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5419.04296875,18496.0,18497.0,,
4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446.58203125,5446.2890625,18591.0,18590.0,,
4032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5472.0703125,5471.19140625,18678.0,18675.0,,
4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5495.21484375,5496.6796875,18757.0,18762.0,,
4072,,,,,,,,,,,,,,,,,,,,,,,-1.2300000190734863,,,,,,,,,,5520.41015625,5521.2890625,18843.0,18846.0,,
4092,,,,,,,,,,,,,,,,,,,,,,,-1.2400000095367432,,,,,,,,,,5543.5546875,5543.5546875,18922.0,18922.0,,
4113,,,,,,,,,,,,,,,,,,,,,,,-1.2300000190734863,,,,,,,,,,5565.234375,5566.69921875,18996.0,19001.0,,
4132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5588.0859375,,,,,
4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5588.671875,19074.0,19076.0,,
4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610.3515625,,,,,
4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5608.30078125,19150.0,19143.0,,
4172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5628.80859375,5627.05078125,19213.0,19207.0,,
4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5646.38671875,5647.265625,19273.0,19276.0,,
4240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5682.71484375,5683.88671875,19397.0,19401.0,,
