Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,33.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.31999969482422,0.7,0.047,2.0E-5,0.0015,4300.0,0.047,0.0015,4300.0,0.7,0.0078125,0.0390625,3398.14453125,3403.7109375,11636.0,11618.0,0.0,0.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984.86328125,1979.58984375,6775.0,6757.0,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974.90234375,1971.09375,6741.0,6728.0,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966.69921875,1959.9609375,6713.0,6690.0,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957.32421875,1951.7578125,6681.0,6662.0,,
88,,,,,,,,,,,,,,,,,,,,,,,-96.31999969482422,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.16015625,1933.0078125,6619.0,6598.0,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930.6640625,1924.51171875,6590.0,6569.0,,
147,,,,,,,,,,,,,,,,,,,,,,,-96.33000183105469,,,,,,,,,,,,1920.1171875,1916.015625,6554.0,6540.0,,
167,,,,,,,,,,,,,,,,,,,,,,,-96.31999969482422,,,,,,,,,,,,1911.328125,1906.34765625,6524.0,6507.0,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.125,1896.97265625,6496.0,6475.0,,
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893.45703125,1887.890625,6463.0,6444.0,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.7890625,1879.39453125,6430.0,6415.0,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875.29296875,1870.01953125,6401.0,6383.0,,
268,,,,,,,,,,,,,,,,,,,,,,,-96.33000183105469,,,,,,,,,,,,1866.50390625,,6371.0,,,
289,,,,,,,,,,,,,,,,,,,,,,,-96.31999969482422,,,,,,,,,,,,1857.12890625,1851.5625,6339.0,6320.0,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838.37890625,1833.3984375,6275.0,6258.0,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829.58984375,1824.31640625,6245.0,6227.0,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820.5078125,1814.94140625,6214.0,6195.0,,
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793.26171875,1787.98828125,6121.0,6103.0,,
449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784.1796875,1778.90625,6090.0,6072.0,,
470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.09765625,1770.1171875,6059.0,6042.0,,
489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.015625,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761.03515625,6028.0,6011.0,,
510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.51953125,1751.953125,5999.0,5980.0,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.4375,1742.87109375,5968.0,5949.0,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739.35546875,1734.08203125,5937.0,5919.0,,
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.2734375,1726.46484375,5906.0,5893.0,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721.484375,1716.796875,5876.0,5860.0,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713.57421875,1708.30078125,5849.0,5831.0,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705.078125,1699.21875,5820.0,5800.0,,
652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.2890625,1689.84375,5790.0,5768.0,,
691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.5390625,1672.265625,5726.0,5708.0,,
711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668.75,1664.94140625,5696.0,5683.0,,
731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.66796875,1655.2734375,5665.0,5650.0,,
751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.87890625,1647.36328125,,,,
752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5635.0,5623.0,,
771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.3828125,,,,,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.40234375,5606.0,5589.0,,
792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.1796875,1629.19921875,5578.0,5561.0,,
812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.09765625,1619.82421875,5547.0,5529.0,,
832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.6015625,1610.44921875,5518.0,5497.0,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.10546875,1602.24609375,5489.0,5469.0,,
872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.73046875,1592.28515625,5457.0,5435.0,,
892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.94140625,1584.08203125,5427.0,,,
893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407.0,,
913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.56640625,1574.12109375,5395.0,5373.0,,
933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571.19140625,1566.50390625,5363.0,5347.0,,
953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.81640625,1555.95703125,5331.0,5311.0,,
980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.3203125,1548.92578125,,,,
981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302.0,5287.0,,
993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.9453125,1538.671875,5270.0,5252.0,,
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.44921875,1531.34765625,5241.0,5227.0,,
1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526.3671875,1520.80078125,5210.0,5191.0,,
1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.87109375,1513.4765625,5181.0,5166.0,,
1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1508.203125,,,,,
1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.63671875,5148.0,5129.0,,
1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1495.3125,5120.0,5104.0,,
1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490.625,1484.47265625,5088.0,5067.0,,
1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.12890625,1477.44140625,5059.0,5043.0,,
1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.75390625,1466.89453125,5027.0,5007.0,,
1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464.55078125,1459.5703125,4999.0,4982.0,,
1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.17578125,1449.0234375,4967.0,4946.0,,
1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446.38671875,1441.69921875,4937.0,4921.0,,
1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437.3046875,1431.4453125,,,,
1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.140625,1413.8671875,4844.0,4826.0,,
1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409.765625,,4812.0,,,
1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.9765625,1396.58203125,4782.0,4767.0,,
1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391.89453125,1387.79296875,4751.0,4737.0,,
1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382.8125,1378.7109375,4720.0,4706.0,,
1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374.609375,1369.62890625,4692.0,4675.0,,
1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.40625,1361.1328125,4664.0,4646.0,,
1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.6171875,1351.7578125,4634.0,4614.0,,
1436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.29296875,1344.7265625,4609.0,4590.0,,
1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.796875,1335.64453125,4580.0,4559.0,,
1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.0078125,,4550.0,,,
1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324.51171875,1320.1171875,4521.0,4506.0,,
1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.30859375,1312.5,4493.0,4480.0,,
1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307.51953125,1303.41796875,4463.0,4449.0,,
1557,,,,,,,,,,,,,,,,,,,,,,,-96.30999755859375,,,,,,,,,,,,1299.609375,1295.21484375,4436.0,4421.0,,
1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.28515625,1287.59765625,4411.0,4395.0,,
1618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.7578125,1271.77734375,4358.0,4341.0,,
1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267.96875,1263.57421875,4328.0,4313.0,,
1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.05859375,1255.37109375,4301.0,4285.0,,
1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251.5625,1246.875,4272.0,4256.0,,
1698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.06640625,1238.37890625,4243.0,4227.0,,
1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235.15625,1229.8828125,4216.0,4198.0,,
1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.66015625,1221.6796875,4187.0,4170.0,,
1759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217.87109375,1213.18359375,4157.0,4141.0,,
1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.375,1204.39453125,4128.0,4111.0,,
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.87890625,,4099.0,,,
1819,,,,,,,,,,,,,,,,,,,,,,,-96.30000305175781,,,,,,,,,,,,1192.3828125,1187.6953125,4070.0,4054.0,,
1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183.88671875,1178.90625,4041.0,4024.0,,
1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175.390625,1170.41015625,4012.0,3995.0,,
1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.1875,1162.20703125,3984.0,3967.0,,
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.984375,,,,,
1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.296875,3956.0,3940.0,,
