Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,32.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.60099983215332,0.7,0.047,2.0E-5,0.0015,5200.0,0.047,0.0015,5200.0,0.7,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
843,,,,,,,,,,,,,,,,,,,,,,,-10.611000061035156,,,,,,,,,,,,,,,,,
923,,,,,,,,,,,,,,,,,,,,,,,-10.60099983215332,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,,,,,-10.611000061035156,,,,,,,,,,,,,,,,,
1768,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80859375,5.2734375,13.0,18.0,,
1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.578125,28.41796875,60.0,97.0,,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9765625,67.3828125,174.0,230.0,,
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97265625,119.53125,331.0,408.0,,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.03125,185.44921875,536.0,633.0,,
1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.46484375,258.3984375,773.0,882.0,,
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.4140625,326.3671875,1022.0,1114.0,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0390625,392.87109375,1246.0,1341.0,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.8359375,460.546875,1474.0,1572.0,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.8046875,527.63671875,1706.0,1801.0,,
2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.30859375,594.43359375,1933.0,2029.0,,
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.69140625,662.98828125,2163.0,2263.0,,
2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.3671875,730.6640625,2394.0,2494.0,,
2089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.97265625,800.09765625,2635.0,,,
2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2731.0,,
2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.52734375,869.23828125,2869.0,2967.0,,
2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.42578125,941.89453125,3111.0,3215.0,,
2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.91015625,1013.0859375,3355.0,3458.0,,
2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057.32421875,,,,,
2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.20703125,3609.0,3711.0,,
2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.1015625,1159.86328125,,,,
2191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3854.0,3959.0,,
2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203.22265625,1236.03515625,4107.0,4219.0,,
2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281.15234375,1314.2578125,4373.0,4486.0,,
2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.01171875,1397.16796875,4649.0,4769.0,,
2271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444.04296875,1479.19921875,4929.0,5049.0,,
2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526.66015625,1560.3515625,5211.0,5326.0,,
2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.69140625,1641.2109375,5491.0,5602.0,,
2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688.96484375,1721.77734375,5765.0,5877.0,,
2351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1768.06640625,1801.46484375,6035.0,6149.0,,
2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.6328125,,,,,
2373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882.32421875,6310.0,6425.0,,
2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932.12890625,1969.04296875,6595.0,6721.0,,
2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.3125,2058.10546875,6896.0,7025.0,,
2431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111.42578125,,,,,
2432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.61328125,7207.0,7351.0,,
2452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2213.37890625,2256.4453125,7555.0,7702.0,,
2475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320.60546875,2368.359375,7921.0,8084.0,,
2492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2436.62109375,2486.71875,8317.0,8488.0,,
2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558.49609375,2612.6953125,8733.0,8918.0,,
2533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2687.40234375,2739.55078125,9173.0,9351.0,,
2555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812.5,2865.8203125,9600.0,9782.0,,
2573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938.76953125,2990.0390625,10031.0,10206.0,,
