Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Talon FX [0]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [1]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [2]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [3]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [4]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [5]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [13]/Value,network_table:///LiveWindow/Ungrouped/Talon FX [14]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [8]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [9]/Value,network_table:///LiveWindow/Ungrouped/Talon SRX [11]/Value,network_table:///LiveWindow/Ungrouped/navX-Sensor/Value,network_table:///Shuffleboard/drive/Feeder % req,network_table:///Shuffleboard/drive/KF,network_table:///Shuffleboard/drive/KI,network_table:///Shuffleboard/drive/KP,network_table:///Shuffleboard/drive/Target RPM,network_table:///SmartDashboard/Shooter KF Feedback,network_table:///SmartDashboard/Shooter KP Feedback,network_table:///SmartDashboard/Shooter RPM Feedback,network_table:///SmartDashboard/feedPercentReqFB:,network_table:///SmartDashboard/left stick:,network_table:///SmartDashboard/right stick:,network_table:///SmartDashboard/shooter1RPM:,network_table:///SmartDashboard/shooter2RPM:,network_table:///SmartDashboard/shooterFalcon1 velocity:,network_table:///SmartDashboard/shooterFalcon2 velocity:,network_table:///SmartDashboard/targetRPM:,network_table:///SmartDashboard/targetUp100ms:
0,,,,,32.0,,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.19999694824219,0.7,0.047,2.0E-5,0.0015,3500.0,0.047,0.0015,3500.0,0.7,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
22,,,,,,,,,,,,,,,,,,,,,,,-90.19000244140625,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,-90.19999694824219,,,,,,,,,,,,,,,,,
666,,,,,,,,,,,,,,,,,,,,,,,-90.19000244140625,,,,,,,,,,,,,,,,,
827,,,,,,,,,,,,,,,,,,,,,,,-90.19999694824219,,,,,,,,,,,,,,,,,
1411,,,,,,,,,,,,,,,,,,,,,,,-90.20999908447266,,,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,,,,,,,,,-90.22000122070312,,,,,,,,,,,,,,,,,
2718,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818,,,,,,,,,,,,,,,,,,,,,,,-90.20999908447266,,,,,,,,,,,,,,,,,
2878,,,,,,,,,,,,,,,,,,,,,,,-90.22000122070312,,,,,,,,,,,,,,,,,
2919,,,,,,,,,,,,,,,,,,,,,,,-90.20999908447266,,,,,,,,,,,,,,,,,
2939,,,,,,,,,,,,,,,,,,,,,,,-90.22000122070312,,,,,,,,,,,,,,,,,
3160,,,,,,,,,,,,,,,,,,,,,,,-90.20999908447266,,,,,,,,,,,,,,,,,
3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2734375,4.1015625,18.0,14.0,,
3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.24609375,23.14453125,93.0,79.0,,
3361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.484375,64.74609375,244.0,221.0,,
3381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.6953125,130.078125,470.0,444.0,,
3382,,,,,,,,,,,,,,,,,,,,,,,-90.22000122070312,,,,,,,,,,,,,,,,,
3404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.39453125,218.26171875,783.0,745.0,,
3422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.16796875,328.125,1185.0,1120.0,,
3441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.9609375,448.53515625,1570.0,1531.0,,
3461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.08984375,,,,,
3462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.75390625,2021.0,1955.0,,
3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.015625,701.953125,2444.0,2396.0,,
3501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.07421875,,,,,
3502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.42578125,2905.0,2855.0,,
3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.04296875,978.515625,3393.0,3340.0,,
3542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.7109375,1129.6875,3938.0,3856.0,,
3562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301.07421875,1285.25390625,4441.0,4387.0,,
3582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.27734375,1442.28515625,4981.0,4923.0,,
